Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Review category,Status,Hydrants pill,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Fallback address when grey
461,BLACKWOOD MAIN-323,BLACKWOOD MAIN,PENNO PARADE NORTH,BELAIR,PENNO PARADE NORTH,BELAIR,PENNO PARADE NORTH|BELAIR,No,Failed,Failed,Grey fallback,"1 PENNO PARADE NORTH, BELAIR SA | 2 PENNO PARADE NORTH, BELAIR SA | PENNO PARADE NORTH, BELAIR SA",,,,,,No,No. 1: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
462,BLACKWOOD MAIN-324,BLACKWOOD MAIN,PENNO PARADE SOUTH,BLACKWOOD,PENNO PARADE SOUTH,BLACKWOOD,PENNO PARADE SOUTH|BLACKWOOD,No,Failed,Failed,Grey fallback,"1 PENNO PARADE SOUTH, BLACKWOOD SA | 2 PENNO PARADE SOUTH, BLACKWOOD SA | PENNO PARADE SOUTH, BLACKWOOD SA",,,,,,No,No. 1: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
465,BLACKWOOD MAIN-327,BLACKWOOD MAIN,PETHERICK STREET,GLENALTA,PETHERICK STREET,GLENALTA,PETHERICK STREET|GLENALTA,No,Ambiguous,Ambiguous,Grey fallback,"1 PETHERICK STREET, GLENALTA SA | 2 PETHERICK STREET, GLENALTA SA | PETHERICK STREET, GLENALTA SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
471,BLACKWOOD MAIN-333,BLACKWOOD MAIN,PINES OVAL ROAD,BELAIR NATIONAL PARK,PINES OVAL ROAD,BELAIR NATIONAL PARK,PINES OVAL ROAD|BELAIR NATIONAL PARK,No,Failed,Failed,Grey fallback,"1 PINES OVAL ROAD, BELAIR NATIONAL PARK SA | 2 PINES OVAL ROAD, BELAIR NATIONAL PARK SA | PINES OVAL ROAD, BELAIR NATIONAL PARK SA",,,,,,No,No exact official candidate returned,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
472,BLACKWOOD MAIN-334,BLACKWOOD MAIN,PITT STREET,EDEN HILLS,PITT STREET,EDEN HILLS,PITT STREET|EDEN HILLS,No,Failed,Failed,Grey fallback,"1 PITT STREET, EDEN HILLS SA | 2 PITT STREET, EDEN HILLS SA | PITT STREET, EDEN HILLS SA",,,,,,No,No. 2: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
473,BLACKWOOD MAIN-335,BLACKWOOD MAIN,PLAYFORD AVENUE,BLACKWOOD,PLAYFORD AVENUE,BLACKWOOD,PLAYFORD AVENUE|BLACKWOOD,No,Ambiguous,Ambiguous,Grey fallback,"1 PLAYFORD AVENUE, BLACKWOOD SA | 2 PLAYFORD AVENUE, BLACKWOOD SA | PLAYFORD AVENUE, BLACKWOOD SA",,,,,,No,street-only: 8 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
475,BLACKWOOD MAIN-337,BLACKWOOD MAIN,PLYMOUTH AVENUE,BLACKWOOD/CORO VALLEY,PLYMOUTH AVENUE,BLACKWOOD/CORO VALLEY,PLYMOUTH AVENUE|BLACKWOOD CORO VALLEY,No,Failed,Failed,Grey fallback,"1 PLYMOUTH AVENUE, BLACKWOOD/CORO VALLEY SA | 2 PLYMOUTH AVENUE, BLACKWOOD/CORO VALLEY SA | PLYMOUTH AVENUE, BLACKWOOD/CORO VALLEY SA",,,,,,No,No. 2: returned suburb/locality does not exactly match; No. 2: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
476,CORO STREETS-77,CORO STREETS,PLYMOUTH AVENUE,COROMANDEL VALLEY,PLYMOUTH AVENUE,COROMANDEL VALLEY,PLYMOUTH AVENUE|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Grey fallback,"1 PLYMOUTH AVENUE, COROMANDEL VALLEY SA | 2 PLYMOUTH AVENUE, COROMANDEL VALLEY SA | PLYMOUTH AVENUE, COROMANDEL VALLEY SA",,,,,,No,street-only: 4 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
477,BLACKWOOD MAIN-338,BLACKWOOD MAIN,POLE ROAD,IRONBANK · UPPER STURT,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
481,BLACKWOOD MAIN-342,BLACKWOOD MAIN,PRITCHARD GROVE,PASADENA,PRITCHARD GROVE,PASADENA,PRITCHARD GROVE|PASADENA,No,Ambiguous,Ambiguous,Grey fallback,"1 PRITCHARD GROVE, PASADENA SA | 2 PRITCHARD GROVE, PASADENA SA | PRITCHARD GROVE, PASADENA SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
482,CORO STREETS-78,CORO STREETS,PRIVATE ROAD,Now WILDHEATH ROAD · COROMANDEL VALLEY,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
486,BLACKWOOD MAIN-345,BLACKWOOD MAIN,QUEENS JUBILEE DRIVE,BELAIR NATIONAL PARK,QUEENS JUBILEE DRIVE,BELAIR NATIONAL PARK,QUEENS JUBILEE DRIVE|BELAIR NATIONAL PARK,No,Failed,Failed,Grey fallback,"1 QUEENS JUBILEE DRIVE, BELAIR NATIONAL PARK SA | 2 QUEENS JUBILEE DRIVE, BELAIR NATIONAL PARK SA | QUEENS JUBILEE DRIVE, BELAIR NATIONAL PARK SA",,,,,,No,street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
487,BLACKWOOD MAIN-346,BLACKWOOD MAIN,RAILWAY LANE,EDEN HILLS,RAILWAY LANE,EDEN HILLS,RAILWAY LANE|EDEN HILLS,No,Ambiguous,Ambiguous,Grey fallback,"1 RAILWAY LANE, EDEN HILLS SA | 2 RAILWAY LANE, EDEN HILLS SA | RAILWAY LANE, EDEN HILLS SA",,,,,,No,street-only: 2 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
498,BLACKWOOD MAIN-356,BLACKWOOD MAIN,RENFREW DRIVE,HAWTHORNDENE,RENFREW DRIVE,HAWTHORNDENE,RENFREW DRIVE|HAWTHORNDENE,No,Ambiguous,Ambiguous,Grey fallback,"1 RENFREW DRIVE, HAWTHORNDENE SA | 2 RENFREW DRIVE, HAWTHORNDENE SA | RENFREW DRIVE, HAWTHORNDENE SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
503,BLACKWOOD PARK-42,BLACKWOOD PARK,RIDING WAY,CRAIGBURN FARM,RIDING WAY,CRAIGBURN FARM,RIDING WAY|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Grey fallback,"1 RIDING WAY, CRAIGBURN FARM SA | 2 RIDING WAY, CRAIGBURN FARM SA | RIDING WAY, CRAIGBURN FARM SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
504,BLACKWOOD MAIN-359,BLACKWOOD MAIN,RING ROAD,BEDFORD PARK,RING ROAD,BEDFORD PARK,RING ROAD|BEDFORD PARK,No,Failed,Failed,Grey fallback,"1 RING ROAD, BEDFORD PARK SA | 2 RING ROAD, BEDFORD PARK SA | RING ROAD, BEDFORD PARK SA",,,,,,No,No. 2: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
505,CORO STREETS-82,CORO STREETS,RIVER GLEN PLACE,COROMANDEL VALLEY,RIVER GLEN PLACE,COROMANDEL VALLEY,RIVER GLEN PLACE|COROMANDEL VALLEY,No,Failed,Failed,Grey fallback,"1 RIVER GLEN PLACE, COROMANDEL VALLEY SA | 2 RIVER GLEN PLACE, COROMANDEL VALLEY SA | RIVER GLEN PLACE, COROMANDEL VALLEY SA",,,,,,No,No. 1: returned suburb/locality does not exactly match; No. 2: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
507,BLACKWOOD PARK-43,BLACKWOOD PARK,ROGERSON CIRCUIT,CRAIGBURN FARM,ROGERSON CIRCUIT,CRAIGBURN FARM,ROGERSON CIRCUIT|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Grey fallback,"1 ROGERSON CIRCUIT, CRAIGBURN FARM SA | 2 ROGERSON CIRCUIT, CRAIGBURN FARM SA | ROGERSON CIRCUIT, CRAIGBURN FARM SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
518,BLACKWOOD MAIN-368,BLACKWOOD MAIN,SADDLE HILL ROAD,BELAIR NATIONAL PARK,SADDLE HILL ROAD,BELAIR NATIONAL PARK,SADDLE HILL ROAD|BELAIR NATIONAL PARK,No,Failed,Failed,Grey fallback,"1 SADDLE HILL ROAD, BELAIR NATIONAL PARK SA | 2 SADDLE HILL ROAD, BELAIR NATIONAL PARK SA | SADDLE HILL ROAD, BELAIR NATIONAL PARK SA",,,,,,No,street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
519,BLACKWOOD MAIN-373,BLACKWOOD MAIN,SANDFORD AVENUE,BLACKWOOD,SANDFORD AVENUE,BLACKWOOD,SANDFORD AVENUE|BLACKWOOD,No,Ambiguous,Ambiguous,Grey fallback,"1 SANDFORD AVENUE, BLACKWOOD SA | 2 SANDFORD AVENUE, BLACKWOOD SA | SANDFORD AVENUE, BLACKWOOD SA",,,,,,No,street-only: 9 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
