Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Review category,Status,Hydrants pill,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Fallback address when grey
415,BLACKWOOD MAIN-288,BLACKWOOD MAIN,MULGA ROAD,HAWTHORNDENE,MULGA ROAD,HAWTHORNDENE,MULGA ROAD|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 MULGA ROAD, HAWTHORNDENE SA","1 MULGA ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.017434191954834,138.62614135005404,No,,
416,BLACKWOOD MAIN-289,BLACKWOOD MAIN,MULGA STREET,EDEN HILLS,MULGA STREET,EDEN HILLS,MULGA STREET|EDEN HILLS,No,Accepted,Accepted,Active,"1 MULGA STREET, EDEN HILLS SA","1 MULGA STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02544959245925,138.6033535196355,No,,
420,BLACKWOOD MAIN-292,BLACKWOOD MAIN,MURTOA ROAD,EDEN HILLS,MURTOA ROAD,EDEN HILLS,MURTOA ROAD|EDEN HILLS,No,Accepted,Accepted,Active,"1 MURTOA ROAD, EDEN HILLS SA","1 MURTOA ROAD, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02553106460535,138.58769983860407,No,,
421,BLACKWOOD MAIN-293,BLACKWOOD MAIN,MYALL AVENUE,BLACKWOOD,MYALL AVENUE,BLACKWOOD,MYALL AVENUE|BLACKWOOD,No,Accepted,Accepted,Active,"1 MYALL AVENUE, BLACKWOOD SA","1 MYALL AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.01318358730197,138.6197888351865,No,,
422,CORO STREETS-70,CORO STREETS,MYRTLE ROAD,COROMANDEL VALLEY,MYRTLE ROAD,COROMANDEL VALLEY,MYRTLE ROAD|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"MYRTLE ROAD, COROMANDEL VALLEY SA","LOT 51 MYRTLE ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",street-only,100,-35.03138033776689,138.63038910851844,No,,
423,BLACKWOOD MAIN-294,BLACKWOOD MAIN,MYRTLE ROAD,HAWTHORNDENE,MYRTLE ROAD,HAWTHORNDENE,MYRTLE ROAD|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 MYRTLE ROAD, HAWTHORNDENE SA","1 MYRTLE ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.017630401075245,138.63144113094643,No,,
424,BLACKWOOD MAIN-295,BLACKWOOD MAIN,NAMA DRIVE,HAWTHORNDENE,NAMA DRIVE,HAWTHORNDENE,NAMA DRIVE|HAWTHORNDENE,No,Accepted,Accepted (preserved validated),Active,"1 Nama Drive, Hawthorndene SA","1 NAMA DRIVE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.02472167974781,138.6359534070555,No,,
426,BLACKWOOD MAIN-297,BLACKWOOD MAIN,NEATE AVENUE,BELAIR,NEATE AVENUE,BELAIR,NEATE AVENUE|BELAIR,No,Accepted,Accepted,Active,"2 NEATE AVENUE, BELAIR SA","2 NEATE AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 2,100,-35.00684957265984,138.61892199289844,No,,
428,CORO STREETS-71,CORO STREETS,NEVILLE STREET,COROMANDEL VALLEY,NEVILLE STREET,COROMANDEL VALLEY,NEVILLE STREET|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 NEVILLE STREET, COROMANDEL VALLEY SA","1 NEVILLE STREET, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.05031371739555,138.61414484337118,No,,
431,CORO STREETS-72,CORO STREETS,NICOLLE DRIVE,COROMANDEL VALLEY,NICOLLE DRIVE,COROMANDEL VALLEY,NICOLLE DRIVE|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"2 NICOLLE DRIVE, COROMANDEL VALLEY SA","2 NICOLLE DRIVE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 2,100,-35.052500657491905,138.62116158748222,No,,
432,BLACKWOOD MAIN-300,BLACKWOOD MAIN,NORFOLK STREET,BLACKWOOD,NORFOLK STREET,BLACKWOOD,NORFOLK STREET|BLACKWOOD,No,Accepted,Accepted,Active,"1 NORFOLK STREET, BLACKWOOD SA","1 NORFOLK STREET, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.008013307986836,138.61844756885117,No,,
433,CORO STREETS-73,CORO STREETS,NORMAN COURT,COROMANDEL VALLEY,NORMAN COURT,COROMANDEL VALLEY,NORMAN COURT|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 NORMAN COURT, COROMANDEL VALLEY SA","1 NORMAN COURT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.051882500924876,138.6221570419136,No,,
434,BLACKWOOD MAIN-301,BLACKWOOD MAIN,NORTHBROOK AVENUE,MITCHAM,NORTHBROOK AVENUE,MITCHAM,NORTHBROOK AVENUE|MITCHAM,No,Accepted,Accepted,Active,"2 NORTHBROOK AVENUE, MITCHAM SA","2 NORTHBROOK AVENUE, MITCHAM, SOUTH AUSTRALIA, 5062",No. 2,100,-34.98361827049433,138.6238804090564,No,,
436,BLACKWOOD MAIN-303,BLACKWOOD MAIN,NOTTINGHAM WAY,GLENALTA,NOTTINGHAM WAY,GLENALTA,NOTTINGHAM WAY|GLENALTA,No,Accepted,Accepted,Active,"1 NOTTINGHAM WAY, GLENALTA SA","1 NOTTINGHAM WAY, GLENALTA, SOUTH AUSTRALIA, 5052",No. 1,100,-35.01219862819075,138.62484028613142,No,,
437,BLACKWOOD MAIN-304,BLACKWOOD MAIN,NUNYARA CRESCENT,BELAIR,NUNYARA CRESCENT,BELAIR,NUNYARA CRESCENT|BELAIR,No,Accepted,Accepted,Active,"1 NUNYARA CRESCENT, BELAIR SA","1 NUNYARA CRESCENT, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-34.997131617766094,138.61434051883123,No,,
440,BLACKWOOD MAIN-306,BLACKWOOD MAIN,OAKDENE ROAD,SPRINGFIELD,OAKDENE ROAD,SPRINGFIELD,OAKDENE ROAD|SPRINGFIELD,No,Accepted,Accepted,Active,"1 OAKDENE ROAD, SPRINGFIELD SA","1 OAKDENE ROAD, SPRINGFIELD, SOUTH AUSTRALIA, 5062",No. 1,100,-34.97852199208046,138.6337883470333,No,,
444,BLACKWOOD MAIN-310,BLACKWOOD MAIN,ORCHARD GROVE,HAWTHORNDENE,ORCHARD GROVE,HAWTHORNDENE,ORCHARD GROVE|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 ORCHARD GROVE, HAWTHORNDENE SA","1 ORCHARD GROVE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.01680002557746,138.6360112202596,No,,
446,CORO STREETS-75,CORO STREETS,OSPREY COURT,FLAGSTAFF HILL,OSPREY COURT,FLAGSTAFF HILL,OSPREY COURT|FLAGSTAFF HILL,No,Accepted,Accepted,Active,"1 OSPREY COURT, FLAGSTAFF HILL SA","1 OSPREY COURT, FLAGSTAFF HILL, SOUTH AUSTRALIA, 5159",No. 1,100,-35.05143262525353,138.60940682893593,No,,
447,BLACKWOOD MAIN-311,BLACKWOOD MAIN,OSWALD AVENUE,BELAIR,OSWALD AVENUE,BELAIR,OSWALD AVENUE|BELAIR,No,Accepted,Accepted,Active,"1 OSWALD AVENUE, BELAIR SA","1 OSWALD AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.00081387415087,138.62888898928688,No,,
448,BLACKWOOD MAIN-PAGE-CRESCENT,BLACKWOOD MAIN,PAGE CRESCENT,PANORAMA,PAGE CRESCENT,PANORAMA,PAGE CRESCENT|PANORAMA,No,Accepted,Accepted,Active,"1 PAGE CRESCENT, PANORAMA SA","1 PAGE CRESCENT, PANORAMA, SOUTH AUSTRALIA, 5041",No. 1,100,-35.00604232244368,138.59427844757138,No,,
449,BLACKWOOD MAIN-312,BLACKWOOD MAIN,PANORAMA AVENUE,HAWTHORNDENE,PANORAMA AVENUE,HAWTHORNDENE,PANORAMA AVENUE|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 PANORAMA AVENUE, HAWTHORNDENE SA","1 PANORAMA AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.01788584649402,138.63584685287313,No,,
450,BLACKWOOD MAIN-313,BLACKWOOD MAIN,PARA STREET,EDEN HILLS,PARA STREET,EDEN HILLS,PARA STREET|EDEN HILLS,No,Accepted,Accepted,Active,"1 PARA STREET, EDEN HILLS SA","1 PARA STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.018485147062144,138.59581325472539,No,,
451,BLACKWOOD MAIN-314,BLACKWOOD MAIN,PARHAM ROAD,EDEN HILLS,PARHAM ROAD,EDEN HILLS,PARHAM ROAD|EDEN HILLS,No,Accepted,Accepted,Active,"1 PARHAM ROAD, EDEN HILLS SA","1 PARHAM ROAD, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02334697069751,138.60629363236635,No,,
452,BLACKWOOD MAIN-315,BLACKWOOD MAIN,PARK STREET,EDEN HILLS,PARK STREET,EDEN HILLS,PARK STREET|EDEN HILLS,No,Accepted,Accepted,Active,"1 PARK STREET, EDEN HILLS SA","1 PARK STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.017207919968286,138.57945425260382,No,,
453,BLACKWOOD MAIN-316,BLACKWOOD MAIN,PARKERS ROAD,TORRENS PARK,PARKERS ROAD,TORRENS PARK,PARKERS ROAD|TORRENS PARK,No,Accepted,Accepted,Active,"1 PARKERS ROAD, TORRENS PARK SA","1 PARKERS ROAD, TORRENS PARK, SOUTH AUSTRALIA, 5062",No. 1,100,-34.99119055502511,138.614460592409,No,,
454,BLACKWOOD MAIN-317,BLACKWOOD MAIN,PASADENA CRESCENT,PASADENA,PASADENA CRESCENT,PASADENA,PASADENA CRESCENT|PASADENA,No,Accepted,Accepted,Active,"1 PASADENA CRESCENT, PASADENA SA","1 PASADENA CRESCENT, PASADENA, SOUTH AUSTRALIA, 5042",No. 1,100,-35.01116065881851,138.58586084505305,No,,
455,BLACKWOOD MAIN-318,BLACKWOOD MAIN,PASTEUR AVENUE,HAWTHORNDENE,PASTEUR AVENUE,HAWTHORNDENE,PASTEUR AVENUE|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 PASTEUR AVENUE, HAWTHORNDENE SA","1 PASTEUR AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.02296060060729,138.63224179935165,No,,
456,CORO STREETS-76,CORO STREETS,PATRICIA STREET,COROMANDEL VALLEY,PATRICIA STREET,COROMANDEL VALLEY,PATRICIA STREET|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"2 PATRICIA STREET, COROMANDEL VALLEY SA","2 PATRICIA STREET, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 2,100,-35.04880079031572,138.6128951887285,No,,
457,BLACKWOOD MAIN-319,BLACKWOOD MAIN,PEEWIT AVENUE,GLENALTA,PEEWIT AVENUE,GLENALTA,PEEWIT AVENUE|GLENALTA,No,Accepted,Accepted,Active,"2 PEEWIT AVENUE, GLENALTA SA","2 PEEWIT AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",No. 2,100,-35.01614131082417,138.62730241707933,No,,
460,BLACKWOOD MAIN-322,BLACKWOOD MAIN,PENGANA DRIVE,HAWTHORNDENE,PENGANA DRIVE,HAWTHORNDENE,PENGANA DRIVE|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 PENGANA DRIVE, HAWTHORNDENE SA","1 PENGANA DRIVE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.02829524730889,138.63587513687145,No,,
463,BLACKWOOD MAIN-325,BLACKWOOD MAIN,PEPPERMINT AVENUE,BELAIR,PEPPERMINT AVENUE,BELAIR,PEPPERMINT AVENUE|BELAIR,No,Accepted,Accepted,Active,"1 PEPPERMINT AVENUE, BELAIR SA","1 PEPPERMINT AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.00706695030728,138.61274131666218,No,,
464,BLACKWOOD MAIN-326,BLACKWOOD MAIN,PERRY LANE,EDEN HILLS,PERRY LANE,EDEN HILLS,PERRY LANE|EDEN HILLS,No,Accepted,Accepted,Active,"1 PERRY LANE, EDEN HILLS SA","1 PERRY LANE, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.025173512173765,138.5897732869336,No,,
466,BLACKWOOD MAIN-328,BLACKWOOD MAIN,PINDA STREET,EDEN HILLS,PINDA STREET,EDEN HILLS,PINDA STREET|EDEN HILLS,No,Accepted,Accepted,Active,"1 PINDA STREET, EDEN HILLS SA","1 PINDA STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02197813191098,138.597701522915,No,,
467,BLACKWOOD MAIN-331,BLACKWOOD MAIN,PINE CREEK CRESCENT,GLENALTA,PINE CREEK CRESCENT,GLENALTA,PINE CREEK CRESCENT|GLENALTA,No,Accepted,Accepted,Active,"1 PINE CREEK CRESCENT, GLENALTA SA","1 PINE CREEK CRESCENT, GLENALTA, SOUTH AUSTRALIA, 5052",No. 1,100,-35.01341537377875,138.62625003887777,No,,
468,BLACKWOOD MAIN-329,BLACKWOOD MAIN,PINE GROVE,BELAIR,PINE GROVE,BELAIR,PINE GROVE|BELAIR,No,Accepted,Accepted,Active,"1 PINE GROVE, BELAIR SA","1 PINE GROVE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.00096703467005,138.61816970969787,No,,
469,BLACKWOOD MAIN-332,BLACKWOOD MAIN,PINE LODGE DRIVE,GLENALTA,PINE LODGE DRIVE,GLENALTA,PINE LODGE DRIVE|GLENALTA,No,Accepted,Accepted,Active,"1 PINE LODGE DRIVE, GLENALTA SA","1 PINE LODGE DRIVE, GLENALTA, SOUTH AUSTRALIA, 5052",No. 1,100,-35.00857649753826,138.63203616223183,No,,
470,BLACKWOOD MAIN-330,BLACKWOOD MAIN,PINE ROAD,HAWTHORNDENE,PINE ROAD,HAWTHORNDENE,PINE ROAD|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 PINE ROAD, HAWTHORNDENE SA","1 PINE ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.01716700600845,138.6252309255044,No,,
474,BLACKWOOD MAIN-336,BLACKWOOD MAIN,PLAYFORD ROAD,MITCHAM,PLAYFORD ROAD,MITCHAM,PLAYFORD ROAD|MITCHAM,No,Accepted,Accepted,Active,"1 PLAYFORD ROAD, MITCHAM SA","1 PLAYFORD ROAD, MITCHAM, SOUTH AUSTRALIA, 5062",No. 1,100,-34.98209146824552,138.62687655612353,No,,
478,BLACKWOOD MAIN-339,BLACKWOOD MAIN,PONY RIDGE ROAD,BELAIR,PONY RIDGE ROAD,BELAIR,PONY RIDGE ROAD|BELAIR,No,Accepted,Accepted,Active,"1 PONY RIDGE ROAD, BELAIR SA","1 PONY RIDGE ROAD, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-34.99866179986379,138.65018595058652,No,,
479,BLACKWOOD MAIN-340,BLACKWOOD MAIN,POPLAR AVENUE,HAWTHORNDENE,POPLAR AVENUE,HAWTHORNDENE,POPLAR AVENUE|HAWTHORNDENE,No,Accepted,Accepted,Active,"2 POPLAR AVENUE, HAWTHORNDENE SA","2 POPLAR AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 2,100,-35.02353019408284,138.62466204357597,No,,
480,BLACKWOOD MAIN-341,BLACKWOOD MAIN,PRICE AVENUE,BELAIR,PRICE AVENUE,BELAIR,PRICE AVENUE|BELAIR,No,Accepted,Accepted,Active,"1 PRICE AVENUE, BELAIR SA","1 PRICE AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.00017935199994,138.62078286652363,No,,
483,BLACKWOOD MAIN-343,BLACKWOOD MAIN,PROTEA AVENUE,COROMANDEL VALLEY,PROTEA AVENUE,COROMANDEL VALLEY,PROTEA AVENUE|COROMANDEL VALLEY,Yes,Accepted,Accepted,Active,"1 PROTEA AVENUE, COROMANDEL VALLEY SA","1 PROTEA AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.04342024882439,138.61664290744903,No,,
484,CORO STREETS-79,CORO STREETS,PROTEA AVENUE,COROMANDEL VALLEY,PROTEA AVENUE,COROMANDEL VALLEY,PROTEA AVENUE|COROMANDEL VALLEY,Yes,Accepted,Accepted,Active,"1 PROTEA AVENUE, COROMANDEL VALLEY SA","1 PROTEA AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.04342024882439,138.61664290744903,No,,
485,BLACKWOOD MAIN-344,BLACKWOOD MAIN,PYM STREET,BELAIR,PYM STREET,BELAIR,PYM STREET|BELAIR,No,Accepted,Accepted,Active,"1 PYM STREET, BELAIR SA","1 PYM STREET, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.00996988470066,138.60127544624964,No,,
488,BLACKWOOD MAIN-347,BLACKWOOD MAIN,RAILWAY TERRACE,BLACKWOOD,RAILWAY TERRACE,BLACKWOOD,RAILWAY TERRACE|BLACKWOOD,No,Accepted,Accepted,Active,"1 RAILWAY TERRACE, BLACKWOOD SA","1 RAILWAY TERRACE, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.01516577971239,138.62058025347906,No,,
489,BLACKWOOD MAIN-348,BLACKWOOD MAIN,RAILWAY TERRACE,PANORAMA,RAILWAY TERRACE,PANORAMA,RAILWAY TERRACE|PANORAMA,No,Accepted,Accepted,Active,"1 RAILWAY TERRACE, PANORAMA SA","1 RAILWAY TERRACE, PANORAMA, SOUTH AUSTRALIA, 5041",No. 1,100,-35.00747697933948,138.59523441113717,No,,
490,BLACKWOOD MAIN-349,BLACKWOOD MAIN,RALPH AVENUE,BELAIR,RALPH AVENUE,BELAIR,RALPH AVENUE|BELAIR,No,Accepted,Accepted,Active,"1 RALPH AVENUE, BELAIR SA","1 RALPH AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.008873746350766,138.61008955840478,No,,
491,BLACKWOOD MAIN-350,BLACKWOOD MAIN,RANDELL COURT,BELAIR,RANDELL COURT,BELAIR,RANDELL COURT|BELAIR,No,Accepted,Accepted,Active,"2 RANDELL COURT, BELAIR SA","2 RANDELL COURT, BELAIR, SOUTH AUSTRALIA, 5052",No. 2,100,-35.002433711186605,138.6121904012987,No,,
492,BLACKWOOD MAIN-351,BLACKWOOD MAIN,RANKEYS HILL ROAD,HAWTHORNDENE,RANKEYS HILL ROAD,HAWTHORNDENE,RANKEYS HILL ROAD|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 RANKEYS HILL ROAD, HAWTHORNDENE SA","1 RANKEYS HILL ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.01678045803144,138.6385845304462,No,,
493,CORO STREETS-80,CORO STREETS,REBECCA PLACE,FLAGSTAFF HILL,REBECCA PLACE,FLAGSTAFF HILL,REBECCA PLACE|FLAGSTAFF HILL,No,Accepted,Accepted,Active,"1 REBECCA PLACE, FLAGSTAFF HILL SA","1 REBECCA PLACE, FLAGSTAFF HILL, SOUTH AUSTRALIA, 5159",No. 1,100,-35.04963845917156,138.61205538523126,No,,
494,BLACKWOOD MAIN-352,BLACKWOOD MAIN,RED ROAD,BLACKWOOD,RED ROAD,BLACKWOOD,RED ROAD|BLACKWOOD,No,Accepted,Accepted,Active,"1 RED ROAD, BLACKWOOD SA","1 RED ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.0274284050208,138.6200035445322,No,,
495,BLACKWOOD MAIN-353,BLACKWOOD MAIN,REDGUM DRIVE,BELAIR,REDGUM DRIVE,BELAIR,REDGUM DRIVE|BELAIR,No,Accepted,Accepted,Active,"1 REDGUM DRIVE, BELAIR SA","1 REDGUM DRIVE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-34.999471540494845,138.62809419114546,No,,
496,BLACKWOOD MAIN-354,BLACKWOOD MAIN,REDGUM DRIVE,PASADENA,REDGUM DRIVE,PASADENA,REDGUM DRIVE|PASADENA,No,Accepted,Accepted,Active,"1 REDGUM DRIVE, PASADENA SA","1 REDGUM DRIVE, PASADENA, SOUTH AUSTRALIA, 5042",No. 1,100,-35.01086038593069,138.58665457587378,No,,
497,BLACKWOOD MAIN-355,BLACKWOOD MAIN,REED STREET,BELAIR,REED STREET,BELAIR,REED STREET|BELAIR,No,Accepted,Accepted,Active,"1 REED STREET, BELAIR SA","1 REED STREET, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.005335578259306,138.6110086994067,No,,
499,BLACKWOOD MAIN-357,BLACKWOOD MAIN,REYNOLDS STREET,BLACKWOOD,REYNOLDS STREET,BLACKWOOD,REYNOLDS STREET|BLACKWOOD,No,Accepted,Accepted,Active,"1 REYNOLDS STREET, BLACKWOOD SA","1 REYNOLDS STREET, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 1,100,-35.01291604558203,138.61084664454842,No,,
500,BLACKWOOD PARK-41,BLACKWOOD PARK,RICHMAN COURT,CRAIGBURN FARM,RICHMAN COURT,CRAIGBURN FARM,RICHMAN COURT|CRAIGBURN FARM,No,Accepted,Accepted,Active,"2 RICHMAN COURT, CRAIGBURN FARM SA","2 RICHMAN COURT, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 2,100,-35.0380688807653,138.61550300895078,No,,
501,BLACKWOOD MAIN-358,BLACKWOOD MAIN,RIDGEHAVEN DRIVE,BELLEVUE HEIGHTS,RIDGEHAVEN DRIVE,BELLEVUE HEIGHTS,RIDGEHAVEN DRIVE|BELLEVUE HEIGHTS,No,Accepted,Accepted,Active,"1 RIDGEHAVEN DRIVE, BELLEVUE HEIGHTS SA","1 RIDGEHAVEN DRIVE, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.023518097781675,138.5776013838838,No,,
502,CORO STREETS-81,CORO STREETS,RIDGETOP PLACE,COROMANDEL VALLEY,RIDGETOP PLACE,COROMANDEL VALLEY,RIDGETOP PLACE|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"2 RIDGETOP PLACE, COROMANDEL VALLEY SA","2 RIDGETOP PLACE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 2,100,-35.05671319437343,138.61741404664846,No,,
506,BLACKWOOD MAIN-360,BLACKWOOD MAIN,RIVIERA COURT,PASADENA,RIVIERA COURT,PASADENA,RIVIERA COURT|PASADENA,No,Accepted,Accepted,Active,"1 RIVIERA COURT, PASADENA SA","1 RIVIERA COURT, PASADENA, SOUTH AUSTRALIA, 5042",No. 1,100,-35.01104414297638,138.59320490084275,No,,
508,BLACKWOOD MAIN-361,BLACKWOOD MAIN,ROKEWOOD AVENUE,BELAIR,ROKEWOOD AVENUE,BELAIR,ROKEWOOD AVENUE|BELAIR,No,Accepted,Accepted,Active,"1 ROKEWOOD AVENUE, BELAIR SA","1 ROKEWOOD AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-35.003381491960425,138.62664637062778,No,,
509,BLACKWOOD MAIN-362,BLACKWOOD MAIN,RONALD AVENUE,EDEN HILLS,RONALD AVENUE,EDEN HILLS,RONALD AVENUE|EDEN HILLS,No,Accepted,Accepted,Active,"1 RONALD AVENUE, EDEN HILLS SA","1 RONALD AVENUE, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.01612939240979,138.57820530950826,No,,
510,BLACKWOOD MAIN-363,BLACKWOOD MAIN,ROSEBERRY AVENUE,EDEN HILLS,ROSEBERRY AVENUE,EDEN HILLS,ROSEBERRY AVENUE|EDEN HILLS,No,Accepted,Accepted,Active,"1 ROSEBERRY AVENUE, EDEN HILLS SA","1 ROSEBERRY AVENUE, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.02965554752985,138.60385089107763,No,,
511,BLACKWOOD MAIN-364,BLACKWOOD MAIN,ROSELLA AVENUE,GLENALTA,ROSELLA AVENUE,GLENALTA,ROSELLA AVENUE|GLENALTA,No,Accepted,Accepted (preserved validated),Active,"1 Rosella Avenue, Glenalta SA","1 ROSELLA AVENUE, GLENALTA, SOUTH AUSTRALIA, 5052",No. 1,100,-35.011429623632715,138.62414866232348,No,,
512,CORO STREETS-83,CORO STREETS,ROSS COURT,COROMANDEL VALLEY,ROSS COURT,COROMANDEL VALLEY,ROSS COURT|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 ROSS COURT, COROMANDEL VALLEY SA","1 ROSS COURT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.05240566595037,138.6156698667522,No,,
513,CORO STREETS-84,CORO STREETS,ROWLANDS HILL ROAD,COROMANDEL VALLEY,ROWLANDS HILL ROAD,COROMANDEL VALLEY,ROWLANDS HILL ROAD|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 ROWLANDS HILL ROAD, COROMANDEL VALLEY SA","1 ROWLANDS HILL ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.04714875577246,138.62077005867533,No,,
514,BLACKWOOD MAIN-365,BLACKWOOD MAIN,RURAL AVENUE,HAWTHORNDENE,RURAL AVENUE,HAWTHORNDENE,RURAL AVENUE|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 RURAL AVENUE, HAWTHORNDENE SA","1 RURAL AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.01689999794885,138.63734857308572,No,,
515,BLACKWOOD MAIN-366,BLACKWOOD MAIN,RUSSELL STREET,BELAIR,RUSSELL STREET,BELAIR,RUSSELL STREET|BELAIR,No,Accepted,Accepted,Active,"2 RUSSELL STREET, BELAIR SA","2 RUSSELL STREET, BELAIR, SOUTH AUSTRALIA, 5052",No. 2,100,-34.998784719630045,138.62384945675637,No,,
516,BLACKWOOD MAIN-367,BLACKWOOD MAIN,RUSTIC AVENUE,COROMANDEL VALLEY,RUSTIC AVENUE,COROMANDEL VALLEY,RUSTIC AVENUE|COROMANDEL VALLEY,Yes,Accepted,Accepted,Active,"2 RUSTIC AVENUE, COROMANDEL VALLEY SA","2 RUSTIC AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 2,100,-35.036255502910905,138.62175430623944,No,,
517,CORO STREETS-85,CORO STREETS,RUSTIC AVENUE,COROMANDEL VALLEY,RUSTIC AVENUE,COROMANDEL VALLEY,RUSTIC AVENUE|COROMANDEL VALLEY,Yes,Accepted,Accepted,Active,"2 RUSTIC AVENUE, COROMANDEL VALLEY SA","2 RUSTIC AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 2,100,-35.036255502910905,138.62175430623944,No,,
520,CORO STREETS-86,CORO STREETS,SANDOW CRESCENT,COROMANDEL VALLEY,SANDOW CRESCENT,COROMANDEL VALLEY,SANDOW CRESCENT|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 SANDOW CRESCENT, COROMANDEL VALLEY SA","1 SANDOW CRESCENT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.04591653403442,138.6214613267097,No,,
