Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Review category,Status,Hydrants pill,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Fallback address when grey
265,BLACKWOOD MAIN-186,BLACKWOOD MAIN,GREENGLADE ROAD,BELAIR,GREENGLADE ROAD,BELAIR,GREENGLADE ROAD|BELAIR,No,Accepted,Accepted,Active,"1 GREENGLADE ROAD, BELAIR SA","1 GREENGLADE ROAD, BELAIR, SOUTH AUSTRALIA, 5052",No. 1,100,-34.99659742376014,138.6415141478569,No,,
266,BLACKWOOD MAIN-187,BLACKWOOD MAIN,GREENOCK ROAD,HAWTHORNDENE,GREENOCK ROAD,HAWTHORNDENE,GREENOCK ROAD|HAWTHORNDENE,No,Accepted,Accepted,Active,"1 GREENOCK ROAD, HAWTHORNDENE SA","1 GREENOCK ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",No. 1,100,-35.02057478308879,138.63744925700428,No,,
267,BLACKWOOD MAIN-188,BLACKWOOD MAIN,GREENWOOD CRESCENT,GLENALTA,GREENWOOD CRESCENT,GLENALTA,GREENWOOD CRESCENT|GLENALTA,No,Accepted,Accepted,Active,"2 GREENWOOD CRESCENT, GLENALTA SA","2 GREENWOOD CRESCENT, GLENALTA, SOUTH AUSTRALIA, 5052",No. 2,100,-35.01306369161099,138.62414634979532,No,,
268,CORO STREETS-40,CORO STREETS,GREENWOOD GROVE,COROMANDEL VALLEY,GREENWOOD GROVE,COROMANDEL VALLEY,GREENWOOD GROVE|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 GREENWOOD GROVE, COROMANDEL VALLEY SA","1 GREENWOOD GROVE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.04134502162706,138.6269523358926,No,,
269,BLACKWOOD PARK-30,BLACKWOOD PARK,GRENACHE CIRCUIT,CRAIGBURN FARM,GRENACHE CIRCUIT,CRAIGBURN FARM,GRENACHE CIRCUIT|CRAIGBURN FARM,No,Accepted,Accepted,Active,"2 GRENACHE CIRCUIT, CRAIGBURN FARM SA","2 GRENACHE CIRCUIT, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 2,100,-35.03843852949804,138.61378302165684,No,,
271,BLACKWOOD MAIN-190,BLACKWOOD MAIN,GROVE STREET,EDEN HILLS,GROVE STREET,EDEN HILLS,GROVE STREET|EDEN HILLS,No,Accepted,Accepted,Active,"1 GROVE STREET, EDEN HILLS SA","1 GROVE STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",No. 1,100,-35.01699463371683,138.60363458075088,No,,
272,BLACKWOOD MAIN-191,BLACKWOOD MAIN,GULFVIEW ROAD,BLACKWOOD,GULFVIEW ROAD,BLACKWOOD,GULFVIEW ROAD|BLACKWOOD,No,Accepted,Accepted,Active,"2 GULFVIEW ROAD, BLACKWOOD SA","2 GULFVIEW ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",No. 2,100,-35.014752726604875,138.6171674955688,No,,
275,CORO STREETS-41,CORO STREETS,GWENDOLINE COURT,COROMANDEL VALLEY,GWENDOLINE COURT,COROMANDEL VALLEY,GWENDOLINE COURT|COROMANDEL VALLEY,No,Accepted,Accepted,Active,"1 GWENDOLINE COURT, COROMANDEL VALLEY SA","1 GWENDOLINE COURT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",No. 1,100,-35.037254515077905,138.6276857630943,No,,
276,BLACKWOOD PARK-31,BLACKWOOD PARK,HACKETT CLOSE,CRAIGBURN FARM,HACKETT CLOSE,CRAIGBURN FARM,HACKETT CLOSE|CRAIGBURN FARM,No,Accepted,Accepted,Active,"2 HACKETT CLOSE, CRAIGBURN FARM SA","2 HACKETT CLOSE, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",No. 2,100,-35.03947774407776,138.6098417621176,No,,
279,BLACKWOOD MAIN-195,BLACKWOOD MAIN,HAMILTON LANE,BELAIR,HAMILTON LANE,BELAIR,HAMILTON LANE|BELAIR,No,Accepted,Accepted,Active,"2 HAMILTON LANE, BELAIR SA","2 HAMILTON LANE, BELAIR, SOUTH AUSTRALIA, 5052",No. 2,100,-34.99513821848843,138.6341788085195,No,,
